"","UntSac","SteTru","SacWid","RauSte","SteUnt","WidKoe","SteWid","EinTru","KoeSac","SteEin","EinKoe","VerWid","WidRau","UntWid","KoeTru","EinUnt","TruSac","UntVer","TruUnt","WahSac","WidTru","TruVer","KoeSte","RauUnt","KoeRau","WidEin","SteWah","KoeVer","VerWah","EinWah","RauEin","UntWah","SacVer","RauWah","WahKoe","RauTru","SteVer","SacEin","RauVer","WahWid","RauSac","TruWah","KoeUnt","VerEin","SteSac"
"1",5,5,4,5,5,2,5,5,3,4,5,5,4,5,3,5,3,5,5,5,4,5,5,4,2,5,4,1,5,5,3,5,5,5,5,5,5,2,2,5,3,5,5,5,5
"2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"3",5,5,3,5,5,2,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,2,5,5,1,5,5,4,5,5,5,5,5,5,2,3,5,3,5,2,5,5
"4",5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"5",5,5,5,3,5,2,4,5,5,5,4,5,5,5,3,5,3,4,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,2,5,5,3,5,3,4,5
"6",5,4,3,2,5,3,4,4,4,2,4,4,3,4,2,4,2,3,4,5,4,4,5,4,3,4,2,2,5,4,1,4,5,3,5,3,5,1,4,2,1,4,2,4,4
"7",5,5,5,4,5,3,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,5,3,5,4,5,5,5,5,3,5,5,4,5,4,5,5
"8",5,5,5,4,5,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"9",5,4,4,2,5,4,4,5,5,4,4,5,5,5,3,4,4,4,4,5,5,5,5,5,4,5,2,1,5,5,2,5,5,3,5,5,5,2,4,3,3,5,5,5,5
"10",5,5,5,4,5,1,5,5,4,5,4,5,5,5,1,5,1,5,3,5,4,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,1,4,4,4,5,1,5,5
"11",4,4,3,2,5,3,5,4,4,4,4,5,4,3,2,5,3,4,3,5,4,5,5,5,4,4,2,1,5,5,1,5,4,5,5,5,5,2,3,4,3,5,3,5,5
"12",5,5,3,2,5,5,4,5,3,3,5,5,5,4,5,5,3,5,4,5,5,5,5,5,4,5,4,3,5,5,1,5,5,5,5,5,5,2,5,4,3,5,3,5,5
"13",5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,3,5,5,5,5,4,4,2,4,5,5,2,5,5,5,5,4,5,3,5,5,4,5,3,5,5
"14",5,5,4,2,5,4,4,4,4,4,4,5,5,5,3,5,5,4,3,5,5,4,5,5,4,5,3,2,5,5,1,5,5,5,5,5,5,3,5,4,3,5,2,5,4
"15",5,5,3,2,4,2,4,5,4,1,4,5,3,4,1,4,3,3,2,4,4,2,5,4,3,3,2,1,5,4,1,5,4,5,5,4,5,2,5,2,1,5,1,5,5
"16",5,4,3,2,4,3,4,5,4,3,5,4,5,5,4,5,4,4,4,5,5,4,5,5,3,5,4,3,5,5,2,5,5,5,5,5,5,2,3,5,2,5,2,5,4
"17",5,5,5,4,5,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,5,5,5,5,3,5,5,3,5,4,5,5
"18",5,5,4,3,5,4,4,4,5,4,4,5,5,5,3,5,4,4,4,5,5,5,5,5,4,5,3,2,5,5,3,5,5,5,5,5,5,3,4,4,4,5,3,5,4
"19",5,5,4,3,5,2,5,5,4,4,3,4,4,4,2,4,2,4,3,5,5,4,5,4,3,3,2,2,5,5,1,5,4,5,5,4,5,2,4,4,2,5,1,4,5
"20",4,4,4,3,4,3,4,3,4,3,3,3,3,4,2,4,3,2,3,4,4,3,4,3,2,3,2,2,5,4,2,4,5,4,4,4,5,2,3,4,2,4,3,4,3
"21",4,5,3,2,5,3,3,5,4,2,3,5,5,4,3,5,4,5,4,5,5,5,5,5,3,5,2,2,5,5,1,5,4,5,5,5,5,1,5,3,2,5,5,5,5
"22",5,5,4,4,5,4,4,4,3,2,4,5,4,3,3,5,3,4,2,5,4,3,4,3,2,5,2,2,5,3,2,4,4,4,5,2,5,2,3,3,3,5,2,4,3
"23",5,5,4,1,5,4,2,5,5,2,5,5,4,5,2,5,5,3,2,2,5,2,5,5,5,3,2,1,5,4,1,5,5,4,5,5,5,2,5,2,2,5,2,5,4
"24",5,5,4,2,5,2,2,4,5,3,4,5,3,4,1,5,3,2,1,4,4,3,5,5,5,3,3,1,5,4,1,5,5,5,5,5,5,1,5,4,1,5,2,5,5
"25",5,2,5,1,5,3,5,4,3,2,3,5,5,5,3,5,4,5,5,5,5,5,5,5,4,5,3,2,5,4,1,5,5,4,5,5,5,2,5,5,3,5,5,5,5
"26",5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5
"27",1,5,1,5,5,1,5,1,1,5,1,5,5,1,1,1,1,1,1,5,1,1,5,1,1,1,5,1,5,5,1,5,1,5,5,1,5,1,5,5,1,5,1,5,5
"28",5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,2,5,5,5,5,3,5,5
"29",5,4,5,3,5,4,4,5,5,4,4,5,5,5,3,5,5,5,4,5,5,5,5,5,4,5,4,2,5,5,2,5,5,5,5,4,5,3,5,5,4,5,3,5,3
"30",5,5,3,3,5,2,4,4,2,4,4,3,3,4,4,5,4,3,3,3,4,4,4,3,4,3,2,1,4,3,1,5,4,4,4,4,5,2,4,4,2,4,3,4,4
